ASUS VivoBook 15 (2021) - 15.6-inch (39.62 cm) HD - Dual Core Intel Celeron N4020 - Thin and Light Laptop (4GB RAM/256GB SSD/...,25990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops5.png
Lenovo IdeaPad Slim 1 AMD Ryzen 5 3500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3mon...,39029,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops6.png
Lenovo IdeaPad Slim 3 Intel Celeron N4020 4th Gen 15.6"" (39.62cm) HD Thin & Light Laptop (8GB/256GB SSD/Windows 11/Office ...,27127,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops7.png
Lenovo IdeaPad Slim 1 AMD Ryzen 3 3250U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3mon...,31017,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops8.png
Acer Extensa 15 Lightweight Laptop Intel Core i3 11th Gen Processor (4 GB RAM/256GB SSD/Windows 11 Home/Intel UHD Graphics...,29990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops9.png
Apple iPhone 12 (128GB) - Blue,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone0.png
Apple iPhone 13 (128GB) - Pink,64999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone1.png
Apple iPhone 12 (128GB) - Blue,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone2.png
Apple iPhone 12 (64GB) - Blue,55999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone3.png
Apple iPhone 12 (128GB) - White,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone4.png
Apple iPhone 12 (64GB) - Black,52999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone5.png
Apple iPhone 12 (128GB) - Green,60990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone6.png
Apple iPhone 12 (128GB) - Purple,60900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone7.png
Apple iPhone 5S 16GB Gold,11599,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone8.png
Apple iPhone 13 (128GB) - Pink,64999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone9.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 256GB SSD Storag...,88990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook0.png
2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display - 8GB RAM - 256GB SSD ...,111490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook1.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 256GB SSD Storage - Backlit Keybo...,88490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook2.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 256GB SSD Storage - Backlit Keybo...,88490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook3.png
2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display - 8GB RAM - 256GB SSD Storage - Backli...,111490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook4.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 512GB SSD Storage - Backlit Keybo...,104990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook5.png
2022 Apple MacBook Air Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display - 8GB RAM - 256GB SSD Storage - Backli...,111507,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook6.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 256GB SSD Storage - Backlit Keybo...,88990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook7.png
2021 Apple MacBook Pro (16-inch/41.05 cm - Apple M1 Pro chip with 10‑core CPU and 16‑core GPU - 16GB RAM - 1TB SSD) - Space Grey,233990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook8.png
2021 Apple MacBook Pro (14-inch/35.97 cm - Apple M1 Pro chip with 10‑core CPU and 16‑core GPU - 16GB RAM - 1TB SSD) - Silver,222990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook9.png
LG 360 L 2 Star Frost-Free Smart Inverter Double Door Refrigerator (GL-D382SDSY - Dazzle Steel - Door Coolin...,35490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Refrigerators0.png
