HP Pavilion Plus - 12th Gen Intel Core i7 16GB RAM/1TB SSD 14 inch(35.6 cm) -OLED -400 nits -UWVA - Eye Safe Laptop/Intel Iris ...,95546,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops5.png
Honor MagicBook 14 - AMD Ryzen 5 5500U 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Win...,44990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops6.png
Lenovo IdeaPad Slim 1 AMD Ryzen 5 3500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/3mon...,39029,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops7.png
Acer Extensa 15 Lightweight Laptop 11th Gen Intel Core i3 Processor with 15.6"" (39.6 cms) Full HD Display- (8 GB RAM/256GB...,32890,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops8.png
HP 15s - 12th Gen Intel Core i5 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Intel Iris Xe Graphic...,56999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Laptops9.png
Apple iPhone 12 (128GB) - Blue,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone0.png
Apple iPhone 13 (128GB) - Pink,64999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone1.png
Apple iPhone 12 (64GB) - Blue,55999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone2.png
Apple iPhone 12 (128GB) - Blue,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone3.png
Apple iPhone 14 128GB Starlight,79900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone4.png
Apple iPhone 12 (128GB) - White,57900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone5.png
Apple iPhone 14 Plus 256GB Purple,98490,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone6.png
Apple iPhone 14 Pro Max 256GB Space Black,149900,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone7.png
Apple iPhone 12 (128GB) - Green,60990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone8.png
Apple iPhone 13 (128GB) - Pink,64999,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Iphone9.png
2020 Apple MacBook Air Laptop: Apple M1 chip - 13.3-inch/33.74 cm Retina Display - 8GB RAM - 256GB SSD Storag...,88990,/run/media/krishnaraj/Programs/Java/How Much/src/main/resources/data/images/technology/Macbook0.png
